Time,Time GPS,Latitude,Longitude,Distance(m),Speed(m/s),LTE_PHASE_TX_RX_1(degrees),LTE_RSRP_TX_RX_1(dBm),LTE_ECIO_TX_RX_1(dB),LTE_POWER_TX_RX_1(dBm),LTE_POWER_TRANSMITT(dBm),LTE_PHASE_TX_RX_0(degrees),LTE_RSRP_TX_RX_0(dBm),LTE_ECIO_TX_RX_0(dB),LTE_POWER_TX_RX_0(dBm),rsrpVal_Location_info(dBm),rsrqVal_Location_info(dB),rssilte_Location_info(dBm),rsrpVal_signal_info(dBm),rsrqVal_signal_info(dB),rssilte_signal_info(dBm),snrVal_signal_info(dB),Available Bandwidth(MHz),Sent Bytes,RATE(MBit/s)
Thu Oct 04 13:10:59 UTC 2018,00:00:00,0,0,0,0,191.5,140.0,20.0,21.0,21.0,0.0,95.2,9.0,-70.3,-94.3,-10.5,-62.0,-95.0,-10.0,-65.0,11.0,20.0,26803762,0
Thu Oct 04 13:11:04 UTC 2018,00:00:00,0,0,0.0,0,184.43,140.0,20.0,21.0,21.0,0.0,95.2,9.6,-62.0,-95.2,-9.8,-66.3,-95.0,-10.0,-65.0,10.8,20.0,40998810,26.628182763494003
Thu Oct 04 13:11:08 UTC 2018,00:00:00,0,0,0.0,0,190.56,140.0,20.0,21.0,21.0,0.0,94.9,12.5,-65.5,-95.2,-9.5,-66.4,-95.0,-10.0,-65.0,9.8,20.0,54885270,24.221898526503786
Thu Oct 04 13:11:12 UTC 2018,00:00:00,0,0,0.0,0,198.66,140.0,20.0,21.0,21.0,0.0,95.3,9.1,-70.7,-95.2,-10.0,-65.1,-95.0,-10.0,-65.0,10.8,20.0,68299860,24.733908632846656
Thu Oct 04 13:11:17 UTC 2018,00:00:00,0,0,0.0,0,221.91,140.0,20.0,21.0,21.0,0.0,94.5,8.1,-68.8,-94.7,-11.0,-65.4,-95.0,-10.0,-65.0,9.8,20.0,81754896,25.289443090785227
Thu Oct 04 13:11:21 UTC 2018,00:00:00,0,0,0.0,0,150.49,140.0,20.0,21.0,21.0,0.0,95.0,10.8,-69.6,-94.9,-11.2,-62.5,-95.0,-10.0,-65.0,11.0,20.0,92625882,20.57202995655163
Thu Oct 04 13:11:26 UTC 2018,00:00:00,0,0,0.0,0,204.84,140.0,20.0,21.0,21.0,0.0,95.4,12.3,-61.7,-95.6,-10.8,-64.0,-95.0,-10.0,-65.0,10.4,20.0,105600060,24.39851951797255
Thu Oct 04 13:11:30 UTC 2018,00:00:00,0,0,0.0,0,211.44,140.0,20.0,21.0,21.0,0.0,95.3,8.2,-65.1,-95.4,-9.8,-67.1,-95.0,-10.0,-65.0,10.0,20.0,121351530,27.097485381565647
Thu Oct 04 13:11:34 UTC 2018,00:00:00,0,0,0.0,0,200.96,140.0,20.0,21.0,21.0,0.0,95.4,8.9,-70.7,-95.3,-9.6,-66.6,-95.0,-10.0,-65.0,9.8,20.0,136758460,29.147966654519678
Thu Oct 04 13:11:38 UTC 2018,00:00:00,0,0,0.0,0,208.9,140.0,20.0,18.0,18.0,0.0,94.5,11.8,-61.3,-95.2,-11.0,-62.3,-95.0,-10.0,-65.0,10.6,20.0,149494456,23.756815081107273
