Time,Time GPS,Latitude,Longitude,Distance(m),Speed(m/s),UMTS_RSCP_TX_RX_1(dB),UMTS_ECIO_TX_RX_1(dB),UMTS_POWER_TX_RX_1(dBm),UMTS_POWER_TRANSMITT(dBm),UMTS_RSCP_TX_RX_0(dB),UMTS_ECIO_TX_RX_0(dB),UMTS_POWER_TX_RX_0(dBm),ecioVal_Location_info(dB),rscpVal_Location_info(dBm),ecioVal_signal_info(dB),rssiumts_signal_info(dBm),Sent Bytes,RATE(MBit/s)
Thu Oct 04 13:10:59 UTC 2018,00:00:00,0,0,0,0,-125,-125,2.0,2.0,86.5,5.5,-80.9,-31.0,-121.0,-5.5,-86.0,18074916,0
Thu Oct 04 13:11:04 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,2.0,2.0,86.0,4.0,-82.0,-31.0,-121.0,-7.0,-86.0,25710222,14.322904975256325
Thu Oct 04 13:11:08 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,2.1,2.1,87.5,6.5,-81.0,-31.0,-121.0,-5.5,-86.0,33168764,13.009798572110284
Thu Oct 04 13:11:12 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,-0.2,-0.2,86.5,5.5,-80.2,-31.0,-121.0,-5.5,-86.0,39813892,12.252330395902597
Thu Oct 04 13:11:17 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,-0.1,-0.1,89.0,7.0,-81.9,-31.0,-121.0,-7.5,-86.0,46760118,13.055794657311411
Thu Oct 04 13:11:21 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,0.1,0.1,88.0,8.0,-79.4,-31.0,-121.0,-7.5,-86.0,53710838,13.153399338349121
Thu Oct 04 13:11:26 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,2.0,2.0,88.0,6.0,-81.5,-31.0,-121.0,-7.5,-86.0,60961158,13.634549644035
Thu Oct 04 13:11:30 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,2.0,2.0,86.0,7.0,-78.5,-31.0,-121.0,-10.0,-86.0,68205486,12.462523947242174
Thu Oct 04 13:11:34 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,2.0,2.0,86.5,5.5,-80.7,-31.0,-121.0,-6.0,-86.0,75451312,13.708188109665697
Thu Oct 04 13:11:38 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,-0.1,-0.1,87.5,6.5,-80.1,-31.0,-121.0,-6.0,-86.0,82390048,12.943021342706292
Thu Oct 04 13:11:43 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,-0.1,-0.1,86.5,5.5,-80.6,-31.0,-121.0,-9.0,-86.0,89035176,12.346140531244819
Thu Oct 04 13:11:47 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,2.0,2.0,85.5,5.5,-79.7,-31.0,-121.0,-10.5,-86.0,96281002,13.46294147931212
Thu Oct 04 13:11:51 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,2.0,2.0,85.0,5.0,-79.1,-31.0,-121.0,-6.0,-86.0,103236216,12.318518110381145
Thu Oct 04 13:11:56 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,-0.6,-0.6,84.0,10.0,-73.1,-31.0,-121.0,-6.0,-86.0,109882842,12.378110669190496
Thu Oct 04 13:12:00 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,-0.1,-0.1,84.5,5.5,-78.6,-31.0,-121.0,-7.5,-86.0,116826072,13.134593471751925
Thu Oct 04 13:12:04 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,-0.4,-0.4,83.0,5.0,-77.1,-31.0,-121.0,-5.5,-86.0,123471200,12.723817183879758
Thu Oct 04 13:12:09 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,0.1,0.1,84.0,6.0,-77.5,-31.0,-121.0,-5.5,-86.0,131314728,14.840511976755467
Thu Oct 04 13:12:13 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,2.0,2.0,84.0,6.0,-77.5,-31.0,-121.0,-5.5,-86.0,137655762,10.675478640301248
Thu Oct 04 13:12:17 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,1.6,1.6,84.0,11.0,-72.9,-31.0,-121.0,-9.5,-86.0,144898592,13.757578031952713
Thu Oct 04 13:12:22 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,0.2,0.2,86.5,5.5,-80.9,-31.0,-121.0,-9.5,-86.0,151542222,12.53178399143228
Thu Oct 04 13:12:26 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,0.4,0.4,85.5,5.5,-79.5,-31.0,-121.0,-9.0,-86.0,158185852,12.610615281746602
Thu Oct 04 13:12:30 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,0.3,0.3,86.5,6.5,-79.6,-31.0,-121.0,-6.5,-86.0,165298356,13.136577086872826
Thu Oct 04 13:12:35 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,0.3,0.3,86.5,10.5,-75.7,-31.0,-121.0,-6.5,-86.0,173149374,13.509114678605554
Thu Oct 04 13:12:40 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,-0.1,-0.1,87.0,6.0,-80.3,-31.0,-121.0,-6.5,-86.0,180393702,11.673350381190428
Thu Oct 04 13:12:44 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,1.6,1.6,89.5,11.5,-77.6,-31.0,-121.0,-6.5,-86.0,187942124,13.543769721131708
Thu Oct 04 13:12:48 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,2.0,2.0,87.5,6.5,-80.1,-31.0,-121.0,-6.5,-86.0,195187950,13.588573070513824
Thu Oct 04 13:12:53 UTC 2018,00:00:00,0,0,0.0,0,-125,-125,2.1,2.1,89.5,7.5,-81.5,-31.0,-121.0,-6.5,-86.0,202490700,13.71887946011223
