Systime,RSRP(dBm),RSRQ(dB),SNR(dB),SINR,RSSI(dBm),Ec/Io(dB),OutOctets,Rate (KBit/s)
2019-01-17 10:08:13,-89,-80,230,90,-66,-2,158721372,0
2019-01-17 10:08:14,-89,-80,231,90,-66,-2,160684501,10159
2019-01-17 10:08:15,-89,-80,231.3333333333,90,-66,-2,162446898,14617.6666666667
2019-01-17 10:08:17,-89,-80,230.5,90,-66,-2,164082714,15879.75
2019-01-17 10:08:18,-89,-80,230,90,-66,-2,166148456,20327.6
2019-01-17 10:08:19,-89,-80,229.6666666667,90,-66,-2,168181741.333333,21360.5
2019-01-17 10:08:20,-89.7142857143,-80,224,90,-66,-2,170108740,21482.1428571429
2019-01-17 10:08:21,-90.25,-80,219.75,90,-66,-2,171931297.75,21095.875
2019-01-17 10:08:23,-90.1111111111,-80,220.6666666667,90,-66,-2,173952869.555556,21420.6666666667
2019-01-17 10:08:25,-90,-80,221.2,90,-66,-2,176294260.2,22534.8
2019-01-17 10:08:26,-90,-80,220.8,90,-66,-2,180467089,24531.5
2019-01-17 10:08:27,-90,-80,220.2,90,-66,-2,184790466.8,26238
2019-01-17 10:08:29,-90,-80,220.4,90,-66,-2,189083285.4,25413.3
2019-01-17 10:08:30,-90,-80,221,90,-66,-2,193497142.4,26484.4
2019-01-17 10:08:31,-90,-80,220.2,90,-66,-2,197368873.2,22672.5
2019-01-17 10:08:32,-90,-80,219.4,90,-66,-2,201360144.4,23731.8
2019-01-17 10:08:34,-89.5,-80,222.4,90,-66,-2,205762766.4,25861.7
2019-01-17 10:08:35,-89,-80,226,90,-66,-2,210176174,25995.6
2019-01-17 10:08:36,-89,-80,225.8,90,-66,-2,214045957.4,23593.7
2019-01-17 10:08:39,-89,-80,225.6,90,-66,-2,218126958.8,23751.8
2019-01-17 10:08:40,-89,-80,225.6,90,-66,-2,222533026.2,24782.4
2019-01-17 10:08:41,-89,-80,225.6,90,-66,-2,226728025.4,23217.2
