Time,RSSI(dBm),SNR(dB),RSRP(dBm),RSRQ(dB),CELL RSSI(dBm),CELL RSRP(dBm),CELL RSRQ(dB),AVAILABLE BANDWIDTH(MHz),SENT BYTES,RATE(MBit/s)
11:30:12,-53,12.8,-83,-11,-51.7,-83.9,-8.7,20,61507928,41.5341472
11:30:16,-53,11.4,-83,-11,-59.4,-88.8,-9.9,20,87176158,51.33646
11:30:21,-60,14.4,-89,-11,-54.7,-83.2,-8.2,20,112318590,40.2278912
11:30:25,-60,10,-89,-11,-58.3,-84.1,-9,20,138633956,52.630732
11:30:30,-52,16,-84,-11,-55.4,-82.9,-7.8,20,166297522,44.2617056
11:30:35,-58,15.6,-84,-11,-54,-86.3,-10.4,20,195785652,47.181008
11:30:40,-58,6.6,-90,-11,-61.7,-92.8,-12.3,20,220256980,39.1541248
11:30:44,-58,6.4,-90,-11,-71,-95.8,-17.1,20,245300544,50.087128
11:30:49,-58,8.2,-90,-11,-64.3,-87.7,-16.2,20,271940976,42.6246912
11:30:53,-58,4.4,-90,-11,-66,-92,-19.7,20,298686268,53.490584
11:30:58,-58,15,-85,-11,-56.1,-83.1,-7.9,20,324047408,40.577824
11:31:02,-58,18.6,-85,-11,-55,-82.8,-7.1,20,350296862,52.498908
11:31:07,-58,16.8,-85,-11,-49.3,-82.7,-8.7,20,376666156,42.1908704
11:31:11,-52,19,-85,-11,-44.2,-76.2,-7.1,20,402598034,51.863756
11:31:16,-52,18.8,-80,-11,-49.1,-75.7,-6.7,20,430183704,44.137072
11:31:20,-52,24.4,-74,-11,-50.9,-78.7,-6.8,20,456302832,52.238256
11:31:25,-64,10,-90,-11,-56.9,-83,-7.5,20,482279650,41.5629088
11:31:29,-53,6.2,-90,-11,-70.7,-102.6,-11.4,20,497984682,31.410064
11:31:34,-68,5.2,-104,-11,-71.3,-105,-12.9,20,509764954,18.8484352
11:31:39,-74,-5.6,-112,-17,-73.7,-110.7,-17.1,20,517743302,12.7653568
11:31:43,-74,-3.6,-107,-17,-72.9,-108.3,-15.8,20,526193520,16.900436
11:31:48,-74,-3.2,-107,-17,-72.4,-108.2,-15.8,20,534138912,12.7126272
11:31:52,-74,-3.4,-107,-17,-72.4,-110.4,-17.2,20,541369758,14.461692
11:31:57,-74,-7,-112,-17,-73.5,-112.5,-18.5,20,547707796,10.1408608
11:32:02,-74,-5.6,-112,-17,-73.7,-107.8,-14.7,20,555855418,13.0361952
11:32:07,-74,-6.2,-111,-17,-73.4,-107.2,-14.6,20,562188962,10.1336704
11:32:11,-74,-2,-111,-17,-72.5,-105.1,-12.5,20,568607892,12.83786
11:32:15,-74,-4.6,-111,-17,-73,-105.7,-12.8,20,575251522,13.28726
11:32:20,-74,-2,-111,-17,-72.9,-102.8,-11.3,20,583104038,12.5640256
11:32:25,-74,3.4,-103,-12,-73.4,-106.9,-13.8,20,589740178,10.617824
11:32:29,-74,-0.4,-103,-12,-71.2,-105.5,-13,20,597084872,14.689388
11:32:34,-74,-4.6,-111,-12,-72.8,-110.7,-17.5,20,602217020,8.2114368
11:32:38,-74,-2,-111,-18,-85.8,-109.3,-16.2,20,614597990,24.76194
11:32:43,-74,3.4,-98,-10,-84.9,-106.6,-14.9,20,619733134,8.2162304
11:32:47,-74,-4,-108,-15,-84.9,-111.3,-19.4,20,629991438,20.516608
11:32:52,-62,10.8,-93,-9,-85.5,-120.6,-20,20,642047342,19.2894464
11:32:56,-72,0.4,-104,-9,-73.4,-105.4,-12.3,20,650206948,16.319212
11:33:01,-72,1,-104,-14,-73.6,-110.1,-16.9,20,657539658,11.732336
11:33:06,-72,-5.6,-111,-14,-73.7,-111.4,-16.4,20,663561618,9.635136
11:33:10,-72,-13,-120,-20,-73.8,-113,-19,20,666599562,6.075888
11:33:45,-74,-7.2,-112,-20,-70,-106.3,-15.4,20,678218098,2.6556653714
11:33:55,-74,-5.6,-113,-15,-71.2,-111.5,-19.5,20,683679806,4.3693664
11:33:59,-74,-2.8,-113,-15,-86.3,-111.1,-10.1,10,687601570,7.843528
11:34:04,-92,5.2,-119,-15,-87.1,-116.5,-9.8,10,691827428,6.7613728
11:34:08,-92,8.2,-114,-10,-85.8,-112.3,-12.1,10,696047294,8.439732
11:34:13,-92,1.2,-119,-10,-89.5,-115.2,-9,10,699972054,6.279616
11:34:17,-92,2.4,-119,-10,-89.8,-119.2,-12.3,10,704190422,8.436736
11:34:31,-89,4.6,-119,-15,-93.3,-120.9,-10.7,20,714444232,5.85932
11:34:40,-74,-11.2,-117,-20,-86.1,-118.1,-15.1,10,724695046,3.788656
11:34:54,-94,0.8,-122,-14,-93.1,-125.4,-15.4,10,728610818,7.831544
11:34:58,-95,-4,-128,-16,-74.6,-114.2,-20,20,731328190,0.7012572903
11:35:29,-91,0.2,-121,-13,-88.1,-120.3,-14.8,10,748818934,16.043676
11:36:08,-75,-8.8,-116,-20,-89,-120.2,-14,10,758482532,5.800256
11:36:17,-92,1.6,-121,-15,-88.9,-119.7,-13.4,10,762708390,8.451716
11:36:22,-92,2.6,-121,-15,-89.2,-120.1,-12.8,10,766931252,6.7565792
11:36:26,-92,3.6,-121,-15,-89.2,-120.1,-13.3,10,771461204,9.059904
11:36:31,-92,-1,-121,-15,-88.9,-120.4,-12.9,10,775679572,6.7493888
11:36:35,-92,-0.6,-121,-15,-91.1,-120.8,-13,10,779911422,8.4637
11:36:40,-92,2.4,-121,-15,-90.6,-121.1,-14.7,10,784141774,6.7685632
11:36:44,-92,-3.6,-121,-15,-92.8,-124.1,-18.1,10,788364636,8.445724
11:36:49,-92,-7.2,-126,-15,-89.5,-117.7,-12.9,10,792591992,6.7637696
11:36:53,-92,5.4,-118,-15,-87.7,-116.5,-11.2,10,796817850,6.7613728
11:36:58,-85,2.4,-112,-15,-90.5,-110.4,-10.8,10,801650398,9.665096
11:37:03,-85,0.6,-112,-15,-90.9,-111.1,-12.6,10,807405714,9.2085056
11:37:07,-85,8.4,-112,-15,-92.2,-116.3,-18.6,10,815983262,17.155096
11:37:12,-65,9.4,-93,-15,-60.8,-86.8,-7.4,20,838168642,35.496608
11:37:16,-65,14.8,-93,-8,-51.8,-85.7,-10.3,20,863860840,51.384396
11:37:21,-54,15.4,-86,-8,-62.9,-90.7,-9.9,20,890066852,41.9296192
11:37:25,-66,10,-92,-8,-57.9,-87.8,-7.5,20,917236078,54.338452
11:37:30,-58,10.4,-92,-8,-67.7,-92.4,-16,20,936040472,30.0870304
11:37:34,-58,19,-84,-8,-66.6,-92.6,-16.6,20,951439912,24.639104
11:37:39,-40,24.4,-74,-8,-58.2,-90.3,-12.9,20,971451694,40.023564
