Time,RSSI(dBm),SNR(dB),RSRP(dBm),RSRQ(dB),CELL RSSI(dBm),CELL RSRP(dBm),CELL RSRQ(dB),AVAILABLE BANDWIDTH(MHz),SENT BYTES,RATE(MBit/s)
11:23:01,-57,13,-85,-7,-60.5,-86.9,-7.4,20,88695458,38.5573216
11:23:05,-51,13.2,-85,-7,-60.1,-87.1,-7.7,20,111051610,44.712304
11:23:10,-60,10.6,-85,-7,-59.2,-86.1,-7.8,20,133923074,36.5943424
11:23:15,-60,9.4,-85,-7,-59.8,-86.4,-7.4,20,157895568,38.3559904
11:23:19,-60,14.6,-85,-7,-59.7,-86.1,-6.9,20,182777348,49.76356
11:23:24,-52,15.4,-85,-7,-59.2,-86.1,-7.9,20,206567086,38.0635808
11:23:28,-52,16,-85,-7,-59.2,-86.9,-8,20,230725332,48.316492
11:23:32,-52,12.2,-85,-7,-53.8,-87.3,-9,20,253833480,46.216296
11:23:37,-61,14.2,-85,-7,-60.6,-87.2,-7.6,20,277098918,37.2247008
11:23:41,-61,12.8,-85,-7,-60.3,-86.5,-7.1,20,301871344,49.544852
11:23:46,-61,14.8,-85,-7,-60.3,-86.9,-7.1,20,324609486,36.3810272
11:23:51,-61,15.2,-85,-7,-52.8,-86.6,-8,20,347263740,36.2468064
11:23:55,-61,15.2,-85,-7,-53,-87.2,-9.1,20,369784672,45.041864
11:24:00,-54,16.2,-85,-7,-53.9,-87.3,-8.4,20,394599042,39.702992
11:24:04,-61,14,-85,-7,-60.3,-87.1,-8.3,20,418298900,47.399716
11:24:09,-61,12,-85,-7,-60.2,-87,-7.9,20,440424360,35.400736
11:24:13,-61,15.4,-85,-7,-60.7,-87.4,-8.1,20,463862068,46.875416
11:24:18,-59,11.4,-85,-7,-60.8,-87.4,-7.9,20,487043618,37.09048
11:24:22,-59,13.4,-85,-7,-58.8,-87.3,-8.5,20,507889786,41.692336
11:24:27,-59,15,-85,-7,-60.6,-87.1,-6.9,20,531435350,37.6729024
11:24:31,-59,13.8,-85,-7,-60.3,-87.2,-8.5,20,554311308,45.751916
11:24:36,-59,16,-85,-7,-60.4,-87.1,-7.3,20,578787130,39.1613152
11:24:40,-59,15.4,-85,-7,-59.2,-85.9,-7.5,20,604163250,50.75224
