Systime,RSRP(dBm),RSRQ(dB),SNR(dB),SINR,RSSI(dBm),Ec/Io(dB),OutOctets,Rate (KBit/s)
2019-02-25 09:28:00,-92,-70,244,90,-68,-2,270597883,13838.5
2019-02-25 09:28:02,-92,-70,244,90,-68,-2,272109115.333333,15487.3333333333
2019-02-25 09:28:03,-92,-70,244,90,-68,-2,274409544,22252.5
2019-02-25 09:28:04,-92,-70,242,90,-68,-2,276453115.6,21777
2019-02-25 09:28:05,-92,-70,240.6666666667,90,-68,-2,278470122.666667,22698.5
2019-02-25 09:28:06,-92,-70,239.7142857143,90,-68,-2,280643578,24837
2019-02-25 09:28:07,-92,-70,240.75,90,-68,-2,282688428.25,24713.5
2019-02-25 09:28:09,-92,-70,241.5555555556,90,-68,-2,284638054.444444,24519
2019-02-25 09:28:10,-92,-70,242.2,90,-68,-2,286197755.4,22067.1
2019-02-25 09:28:11,-92,-70,241.4,90,-68,-2,290281153.6,27053.9
2019-02-25 09:28:12,-92,-70,240.6,90,-68,-2,294306729,26286.9
2019-02-25 09:28:14,-92,-70,240.8,90,-68,-2,298392823.6,26419.1
2019-02-25 09:28:15,-92,-70,241,90,-68,-2,302298409.2,25360.5
2019-02-25 09:28:16,-92,-70,243.6,90,-68,-2,306385252.8,26179.4
2019-02-25 09:28:17,-92,-70,246.2,90,-68,-2,310381467.4,25621.7
2019-02-25 09:28:18,-92,-70,248.8,90,-68,-2,314197173,24246.2
2019-02-25 09:28:20,-92,-70,250,90,-68,-2,318133467.6,25118
2019-02-25 09:28:21,-92,-70,249.2,90,-68,-2,321900338.4,23746.6
2019-02-25 09:28:22,-92,-70,249.4,90,-68,-2,326323333.2,27760.5
2019-02-25 09:28:24,-92,-70,250.8,90,-68,-2,330129301.8,24381.1
2019-02-25 09:28:25,-92,-70,251.2,90,-68,-2,334053462.6,25626.7
2019-02-25 09:28:26,-92,-70,250.6,90,-68,-2,338142253.6,26645.4
2019-02-25 09:28:27,-92,-70,250,90,-68,-2,342095325.8,25452.7
2019-02-25 09:28:29,-92,-70,248,90,-68,-2,345535482.8,22646.3
2019-02-25 09:28:30,-92,-70,245.4,90,-68,-2,349608994.2,26444.5
2019-02-25 09:28:31,-92,-70,242.8,90,-68,-2,353350099.4,24053.2
2019-02-25 09:28:32,-92,-70,240.6,90,-68,-2,356970915.2,23064.5
2019-02-25 09:28:33,-92,-70,241.4,90,-68,-2,360739433.8,24323.5
2019-02-25 09:28:34,-92,-70,241.2,90,-68,-2,364170602.8,22557.5
2019-02-25 09:28:35,-92,-70,241,90,-68,-2,367928335.8,25527.9
2019-02-25 09:28:37,-92,-70,241.8,90,-68,-2,371548252.8,24467.7
2019-02-25 09:28:38,-92,-70,242.6,90,-68,-2,374987361.2,23448
2019-02-25 09:28:39,-92,-70,242.2,90,-68,-2,378456429.6,23813
2019-02-25 09:28:40,-92,-70,241.8,90,-68,-2,382438263.4,26590.1
2019-02-25 09:28:42,-92,-70,243.4,90,-68,-2,385906882.4,23523.2
2019-02-25 09:28:43,-92,-70,244,90,-68,-2,389677048.8,25685.6
2019-02-25 09:28:44,-92,-70,244.2,90,-68,-2,393434482.2,25564.9
2019-02-25 09:28:45,-92,-70,243.4,90,-68,-2,397416316,27002.6
2019-02-25 09:28:46,-92,-70,242.6,90,-68,-2,401502260.8,27582
2019-02-25 09:28:47,-92,-70,241.8,90,-68,-2,404955150.8,23004.2
2019-02-25 09:28:48,-92,-70,241,90,-68,-2,408417478.2,23110.9
2019-02-25 09:28:50,-92,-70,241,90,-68,-2,411887145.8,23280.6
2019-02-25 09:28:51,-92,-70,242.2,90,-68,-2,415628251,25292.1
2019-02-25 09:28:52,-92,-70,243.4,90,-68,-2,419171620.2,24670.3
2019-02-25 09:28:53,-92,-70,242.6,90,-68,-2,422611627.4,23918.5
2019-02-25 09:28:54,-92,-70,242.8,90,-68,-2,426051634.6,23738.4
2019-02-25 09:28:56,-92,-70,241.6,90,-68,-2,430138328.4,25638
2019-02-25 09:28:58,-92,-70,240.4,90,-68,-2,434000921.4,23535.5
2019-02-25 09:28:59,-92,-70,239.2,90,-68,-2,437772885.4,22505.7
2019-02-25 09:29:01,-92,-70,238,90,-68,-2,442147794.4,25604.6
2019-02-25 09:29:02,-92,-70,235.8,90,-68,-2,446499933.8,25334.8
2019-02-25 09:29:03,-92,-70,232.8,90,-68,-2,450844882.8,25028.3
2019-02-25 09:29:05,-92,-70,231.4,90,-68,-2,455461419.2,24586.1
2019-02-25 09:29:06,-92,-70,230,90,-68,-2,460155252.4,24677.7
2019-02-25 09:29:08,-92,-70,231.4,90,-68,-2,464836352.6,24545.3
2019-02-25 09:29:09,-92,-70,232.8,90,-68,-2,469517602.6,24589.8
2019-02-25 09:29:10,-92,-70,235.6,90,-68,-2,473881576.2,25030.8
2019-02-25 09:29:11,-92,-70,238.4,90,-68,-2,478245549.8,25583.7
2019-02-25 09:29:12,-92,-70,239.2,90,-68,-2,482277267,23786.2
2019-02-25 09:29:14,-92,-70,239.6,90,-68,-2,486017623.2,22744.3
2019-02-25 09:29:15,-92,-70,241,90,-68,-2,489778052.6,22838.4
2019-02-25 09:29:16,-92,-70,242.6,90,-68,-2,494172735.2,25574
2019-02-25 09:29:18,-92,-70,242.6,90,-68,-2,498015255,23129.6
2019-02-25 09:29:19,-92,-70,242.6,90,-68,-2,502078280.4,24923.9
2019-02-25 09:29:21,-92,-70,241.2,90,-68,-2,506167221.2,24505.4
2019-02-25 09:29:23,-92,-70,239.2,90,-68,-2,510588418.4,24708.6
2019-02-25 09:29:25,-92,-70,237.2,90,-68,-2,514662978.4,22019.1
2019-02-25 09:29:26,-92,-70,235.2,90,-68,-2,519100503.8,23796.5
2019-02-25 09:29:28,-92,-70,235.2,90,-68,-2,524141723.2,26744.7
2019-02-25 09:29:29,-92,-70,235.6,90,-68,-2,529172906,26402.5
2019-02-25 09:29:31,-92,-70,236,90,-68,-2,534515822.6,27526
2019-02-25 09:29:32,-92,-70,237.8,90,-68,-2,539235571.2,25129.9
2019-02-25 09:29:33,-92,-70,239.6,90,-68,-2,543934497.6,25830.1
2019-02-25 09:29:34,-92,-70,240.2,90,-68,-2,548352249.4,23815.4
2019-02-25 09:29:35,-92,-70,240,90,-68,-2,553075143.8,26731.7
2019-02-25 09:29:36,-92,-70,240.4,90,-68,-2,557465482.2,26661.3
2019-02-25 09:29:38,-92,-70,240.8,90,-68,-2,561553674,24862.9
2019-02-25 09:29:39,-92,-70,241.2,90,-68,-2,565309010.2,23222.1
2019-02-25 09:29:40,-92,-70,241.2,90,-68,-2,569067042.8,24446
2019-02-25 09:29:41,-92,-70,241.2,90,-68,-2,572885594.6,25361.2
2019-02-25 09:29:42,-92,-70,241,90,-68,-2,576342379.4,23903.1
2019-02-25 09:29:43,-92,-70,241.8,90,-68,-2,579788528.4,23870.6
2019-02-25 09:29:44,-92,-70,242.6,90,-68,-2,583566184.8,26099.5
2019-02-25 09:29:46,-92,-70,244.6,90,-68,-2,587440761.8,27153.5
2019-02-25 09:29:47,-92,-70,246.6,90,-68,-2,590890805.6,24166.5
2019-02-25 09:29:48,-92,-70,248,90,-68,-2,594341448.6,24248.6
2019-02-25 09:29:49,-92,-70,249.4,90,-68,-2,598096185.6,26057.2
2019-02-25 09:29:50,-92,-70,250.6,90,-68,-2,601518965.8,23848.6
2019-02-25 09:29:51,-92,-70,254,90,-68,-2,605091845.6,24540.3
2019-02-25 09:29:53,-91.5,-70,257.4,90,-68,-2,608497548.6,23305.8
2019-02-25 09:29:54,-91,-70,261,90,-68,-2,611949839.4,23423
2019-02-25 09:29:55,-90.5,-70,262,90,-68,-2,616035484.6,26163.8
2019-02-25 09:29:57,-90,-70,263.2,90,-68,-2,619487925.2,21741.3
2019-02-25 09:29:58,-89.5,-70,264.4,90,-68,-2,623145292.2,22204.3
2019-02-25 09:30:00,-89,-70,265.6,90,-68,-2,627211912.8,23669.8
2019-02-25 09:30:01,-88.5,-70,267.4,90,-68,-2,631379948,24303.8
