Time,RSSI(dBm),ECIO(dB),CELL RSCP(dBm),CELL ECIO(dB),SENT BYTES,RATE(MBit/s)
10:20:26,-79,-2.5,-108,-31,47993656,11.321884
10:20:31,-79,-2.5,-121,-31,56144274,13.0409888
10:20:35,-79,-2.5,-121,-31,64300884,16.31322
10:20:40,-79,-2.5,-121,-31,72453000,13.0433856
10:20:44,-79,-2.5,-121,-31,80909210,16.91242
10:20:49,-79,-2.5,-121,-31,89359428,13.5203488
10:20:53,-79,-4,-121,-31,97208948,15.69904
10:20:58,-79,-4,-121,-31,105361064,13.0433856
10:21:02,-79,-4,-121,-31,113510184,16.29824
10:21:07,-79,-4,-121,-31,121970888,13.5371264
10:21:11,-73,-4,-121,-31,130126000,16.310224
10:21:16,-73,-4,-121,-31,137978516,12.5640256
10:21:21,-73,-4,-121,-31,146743314,14.0236768
10:21:25,-73,-4,-121,-31,154895430,16.304232
10:21:30,-73,-4,-121,-31,163365122,13.5515072
10:21:35,-79,-4,-121,-31,171520234,13.0481792
10:21:39,-79,-4,-121,-31,176496590,9.952712
10:42:38,-73,-2.5,-106,-31,199227242,0.1465311974
10:42:47,-73,-2.5,-121,-31,205355560,9.8053088
10:42:51,-73,-2.5,-121,-31,213515166,16.319212
10:42:56,-73,-2.5,-121,-31,221367682,12.5640256
10:43:00,-73,-2.5,-121,-31,229521296,16.307228
10:43:05,-73,-2.5,-121,-31,237683898,13.0601632
10:43:09,-73,-2.5,-121,-31,238654602,1.941408
11:21:23,-73,-3.5,-104,-31,5383860,10.767624
11:21:28,-81,-3.5,-94,-15,13231882,12.5568352
11:21:32,-81,-3.5,-91,-11,21407966,16.352168
11:21:37,-81,-3.5,-91,-18,29868670,13.5371264
11:21:41,-81,-3.5,-96,-18,38020786,16.304232
11:21:46,-81,-3.5,-91,-15,45871804,12.5616288
11:21:50,-81,-3.5,-97,-24,53722822,15.702036
11:21:55,-81,-3.5,-90,-21,61871942,13.038592
11:21:59,-71,-3.5,-91,-23,70021062,16.29824
11:22:04,-71,-3.5,-83,-8,78167186,13.0337984
11:22:09,-85,-5,-91,-18,86699794,13.6521728
11:22:13,-85,-8,-98,-23,94203276,15.006964
11:22:18,-72,-9.5,-87,-24,102391344,13.1009088
11:22:22,-72,-9.5,-74,-17,110242362,15.702036
11:22:27,-72,-3.5,-92,-19,118094878,12.5640256
11:22:32,-72,-3.5,-121,-26,126248492,13.0457824
11:22:36,-72,-3.5,-86,-16,134703204,16.909424
11:22:41,-72,-3.5,-86,-15,143153422,13.5203488
11:22:46,-72,-3.5,-80,-7,151001444,12.5568352
11:22:50,-72,-6,-84,-15,158849466,15.696044
11:22:55,-72,-3,-94,-24,166695990,12.5544384
11:22:59,-72,-3,-78,-13,174244412,15.096844
11:23:03,-72,-5.5,-83,-16,182092434,15.696044
11:23:08,-72,-4,-86,-19,190548644,13.529936
11:23:13,-72,-4,-121,-26,198699262,13.0409888
11:23:17,-72,-4,-121,-25,207017656,16.636788
11:23:22,-73,-4,-92,-18,215165278,13.0361952
11:23:26,-62,-4,-78,-18,223314398,16.29824
11:23:31,-73,-4,-90,-20,231015616,12.3219488
11:23:36,-73,-4,-90,-21,239769928,14.0068992
11:23:40,-89,-8,-99,-13,247021746,14.503636
11:23:45,-89,-6,-109,-21,254871266,12.559232
11:23:49,-89,-7.5,-106,-22,262499082,15.255632
11:23:54,-89,-11,-112,-24,270051998,12.0846656
11:23:58,-89,-7.5,-100,-12,276989236,13.874476
11:24:03,-89,-7.5,-103,-17,284543650,12.0870624
11:24:08,-89,-6,-101,-16,292513010,12.750976
11:24:12,-97,-11,-108,-18,299457738,13.889456
11:24:17,-97,-6,-112,-23,305804764,10.1552416
11:24:21,-97,-10.5,-108,-16,308824732,6.039936
11:24:26,-97,-12.5,-110,-20,310030622,1.929424
11:24:30,-97,-7.5,-105,-20,317297420,14.533596
11:24:35,-97,-5,-101,-23,325525934,13.1656224
11:24:40,-83,-3.5,-121,-25,333979148,13.5251424
11:24:44,-83,-3.5,-121,-25,342137256,16.316216
11:24:49,-67,-3.5,-83,-18,350430184,13.2686848
11:24:53,-67,-3.5,-89,-18,358281202,15.702036
11:24:58,-84,-3.5,-91,-7,366515708,13.1752096
11:25:03,-93,-9,-99,-23,373159338,10.629808
11:25:07,-93,-11.5,-113,-23,375273016,4.227356
11:25:12,-93,-11.5,-112,-21,382157824,11.0156928
11:25:17,-93,-9.5,-107,-17,388194764,9.659104
11:25:21,-93,-9.5,-101,-14,395746182,15.102836
11:25:26,-93,-7,-109,-21,403594204,12.5568352
11:25:30,-93,-7,-106,-18,411744822,16.301236
11:25:35,-93,-7,-106,-18,419592844,12.5568352
11:35:46,-82,-4.5,-106,-23,6889398,13.778604
11:35:51,-82,-4.5,-107,-24,14770376,12.6095648
11:38:24,-91,-7,-98,-13,122188960,5.6166579869
11:38:29,-91,-7,-107,-22,126104732,6.2652352
11:38:33,-91,-7,-106,-22,129123202,6.03694
11:38:38,-91,-7,-108,-24,132830752,5.93208
11:38:42,-91,-10.5,-105,-20,135849222,6.03694
11:38:47,-91,-9,-103,-16,139471386,5.7954624
11:38:51,-91,-9,-107,-18,140275812,1.608852
11:39:00,-91,-6,-99,-21,148216710,7.058576
11:39:35,-93,-8,-103,-16,173245294,5.7208192
11:39:40,-93,-8,-96,-12,175354478,3.3746944
11:39:44,-93,-8,-108,-23,179276242,7.843528
11:39:48,-93,-8,-100,-15,182297708,6.042932
11:39:53,-93,-8,-97,-13,186216476,6.2700288
11:39:58,-93,-10,-100,-15,190440836,6.758976
11:40:02,-93,-10,-98,-12,194060004,7.238336
11:40:06,-93,-7,-102,-17,196473282,4.826556
11:40:11,-93,-8.5,-97,-12,198885062,3.858848
11:40:15,-93,-10,-99,-13,200090952,2.41178
11:40:24,-93,-13.5,-104,-16,201899038,1.6071875556
11:42:44,-80,-3.5,-97,-16,289896052,5.0284008
11:42:49,-80,-3.5,-98,-16,293864254,6.3491232
11:42:53,-80,-3.5,-86,-16,297790512,7.852516
11:42:58,-70,-3.5,-83,-24,302008880,6.7493888
11:43:02,-70,-3.5,-90,-23,305933640,7.84952
11:43:07,-64,-3.5,-71,-16,310156502,6.7565792
11:43:12,-55,-3.5,-80,-16,314076768,6.2724256
11:43:16,-71,-3.5,-64,-10,318299630,8.445724
11:43:21,-56,-3.5,-67,-8,322218398,6.2700288
