Time,RSSI(dBm),ECIO(dB),CELL RSCP(dBm),CELL ECIO(dB),SENT BYTES,RATE(MBit/s)
11:23:01,-74,-4.5,-87,-13,19565196,12.5616288
11:23:05,-81,-4.5,-87,-16,27112120,15.093848
11:23:10,-75,-3,-88,-16,34663538,12.0822688
11:23:15,-75,-3,-90,-19,42517552,12.5664224
11:23:19,-75,-3,-89,-17,50437478,15.839852
11:23:24,-75,-3,-89,-20,58152178,12.34352
11:23:28,-75,-3,-92,-20,65836918,15.36948
11:23:32,-75,-3,-90,-16,73389834,15.105832
11:23:37,-75,-3,-89,-17,80971212,12.1302048
11:23:41,-75,-3,-95,-18,88822230,15.702036
11:23:46,-75,-5,-89,-14,96671750,12.559232
11:23:51,-75,-3.5,-91,-13,104825364,13.0457824
11:23:55,-83,-3.5,-89,-17,112384272,15.117816
11:24:00,-76,-3.5,-89,-16,120236788,12.5640256
11:24:04,-76,-3.5,-88,-16,128087806,15.702036
11:24:09,-76,-3.5,-89,-14,135631734,12.0702848
11:24:13,-76,-3.5,-90,-16,143479756,15.696044
11:24:18,-76,-3.5,-90,-15,151332272,12.5640256
11:24:22,-76,-3.5,-88,-14,158877698,15.090852
11:24:27,-76,-3.5,-90,-15,166427618,12.079872
11:24:31,-76,-3.5,-88,-13,174275640,15.696044
11:24:36,-76,-3.5,-90,-16,182129654,12.5664224
11:24:40,-76,-3,-89,-13,189976178,15.693048
11:24:45,-76,-3,-90,-18,197520106,12.0702848
11:24:49,-76,-3,-91,-20,205372622,15.705032
11:24:54,-76,-4.5,-88,-15,213213154,12.5448512
11:24:58,-76,-4.5,-88,-15,220793034,15.15976
11:25:03,-76,-4.5,-91,-16,228747414,12.727008
11:25:07,-76,-3.5,-90,-16,236598432,15.702036
11:25:12,-76,-3.5,-92,-17,244148352,12.079872
11:25:16,-76,-3.5,-90,-16,251994876,15.693048
11:25:21,-76,-3.5,-89,-15,259537306,12.067888
11:25:25,-76,-3.5,-89,-15,267382332,15.690052
11:25:30,-76,-3.5,-90,-16,274929256,12.0750784
11:25:34,-76,-3.5,-88,-15,282778776,15.69904
11:25:39,-76,-3.5,-88,-14,290334688,12.0894592
11:25:43,-76,-3.5,-89,-15,298190200,15.711024
11:25:48,-76,-3.5,-88,-13,306044214,12.5664224
11:25:52,-76,-3.5,-93,-22,313595632,15.102836
11:25:57,-76,-3.5,-90,-14,321744752,13.038592
11:26:01,-76,-3.5,-89,-17,329291676,15.093848
11:26:06,-76,-3.5,-90,-14,336844592,12.0846656
11:26:10,-76,-10.5,-90,-23,344697108,15.705032
11:26:15,-76,-5.5,-87,-15,352549624,12.5640256
11:26:19,-76,-9,-89,-16,360402140,15.705032
11:26:24,-76,-3.5,-91,-19,367952060,12.079872
11:26:28,-76,-3.5,-90,-18,375797086,15.690052
11:26:32,-76,-3.5,-89,-19,383345508,15.096844
